stocksymbol,time,quantity,price
s2763,140,3729,278
s27940,141,6111,212
s6049,142,1362,419
s23195,143,8307,437
s36162,144,5043,90
s32513,145,1104,241
s9317,146,9130,246
s40038,147,9849,97
s12623,148,110,268
s34514,149,2076,56
s45190,150,3448,172
s6487,151,4541,122
s16986,152,9969,123
s57073,153,8280,103
s20323,154,7873,251
s53475,155,7081,270
s27178,156,8018,325
s49654,157,1265,273
s845,158,5019,359
s65295,159,2535,462
s56428,160,2608,393
s67839,161,3381,425
s14084,162,6205,342
s4943,163,6181,132
s49722,164,7325,378
s44381,165,3950,299
s24737,166,7455,276
s45014,167,9468,393
s20,168,937,122
s57591,169,3831,225
s64034,170,8703,220
s4030,171,2190,196
s50942,172,6256,359
s24186,173,8033,361
s39383,174,7927,287
s66773,175,7445,365
s40872,176,3190,404
s42229,177,3608,262
s58293,178,6385,343
s39566,179,2987,121
s43946,180,6536,289
s67258,181,7980,312
s52132,182,6716,211
s28728,183,8986,392
s47298,184,7544,428
s52774,185,794,119
s36285,186,7164,243
s37660,187,4105,74
s28332,188,8742,322
s956,189,444,145
s26580,190,6539,125
s45963,191,1460,60
s42909,192,2162,477
s7220,193,9389,202
s51568,194,7128,247
s49260,195,8308,347
s43040,196,6190,66
s53648,197,9577,74
s22039,198,5609,469
s64651,199,4727,193
s32252,200,2465,358
s5110,201,6573,65
s42089,202,1889,271
s21061,203,5082,396
s64650,204,513,74
s68861,205,8644,187
s11504,206,9469,132
s20034,207,5034,183
s37114,208,8104,337
s62143,209,1432,103
s58985,210,4297,301
s40987,211,851,335
s2800,212,4424,124
s11475,213,2881,360
s16964,214,756,101
s33309,215,8834,419
s3365,216,7217,352
s39082,217,1821,261
s59651,218,1555,397
s24785,219,1254,482
s57210,220,3318,319
s8805,221,393,257
s36012,222,2005,497
s62331,223,3471,470
s37109,224,4471,218
s36646,225,7781,342
s49674,226,1464,248
s22343,227,3206,421
s42309,228,1375,270
s59313,229,3202,277
s14138,230,8690,305
s45202,231,2030,278
s20209,232,2160,138
s35541,233,4122,84
s68895,234,5653,201
s9691,235,2586,366
s9719,236,9696,331
s8294,237,5295,453
s19347,238,9351,83
s304,239,6319,397
s76,240,4415,301
s7547,241,4196,354
s43286,242,9986,205
s56854,243,7023,372
s8450,244,7344,443
s67253,245,3158,136
s63136,246,562,242
s27130,247,8840,390
s7412,248,5223,365
s69937,249,6973,140
s20637,250,6797,121
s17606,251,9349,91
s30410,252,7356,59
s19569,253,9860,497
s35440,254,275,423
s42424,255,9650,69
s57862,256,9214,266
s6764,257,6215,198
s6246,258,6764,139
s19248,259,6689,234
s60977,260,7340,458
s4691,261,5991,452
s19435,262,7108,175
s68931,263,481,144
s54810,264,6653,269
s64594,265,3116,407
s61500,266,3038,197
s35400,267,7694,372
s9401,268,3265,318
s3725,269,2276,60
s19142,270,7530,316
s7126,271,2617,493
s22871,272,9748,159
s50250,273,5753,169
s31019,274,6378,154
s38167,275,5131,208
s67671,276,6767,460
s40210,277,3123,301
s57018,278,961,373
s24183,279,6956,463
s35221,280,7371,266
s34271,281,2301,442
s28511,282,1642,84
s36186,283,6669,283
s14798,284,8840,414
s21035,285,327,211
s59360,286,8479,64
s4677,287,4448,102
s23558,288,7609,139
s49233,289,8649,189
s49552,290,3112,85
s39017,291,7328,182
s37788,292,4132,304
s46360,293,8359,87
s17484,294,8863,162
s56692,295,1412,434
s45409,296,8116,356
s32259,297,9110,217
s7171,298,8662,202
s20588,299,269,401
s12279,300,656,295
s61025,301,7673,223
s4879,302,8604,370
s66315,303,309,66
s52609,304,8131,147
s20367,305,9235,204
s20339,306,584,435
s34842,307,8067,397
s23096,308,937,107
s27955,309,7310,493
s19422,310,5311,195
s17942,311,5738,91
s29538,312,9281,85
s39333,313,8594,87
s10525,314,5204,314
s39127,315,6681,293
s10914,316,2221,97
s2441,317,3804,90
s58124,318,6780,460
s11241,319,8133,498
s65979,320,6147,486
s9195,321,7737,384
s3860,322,9293,221
s53549,323,2566,383
s64493,324,3922,150
s16473,325,4729,74
s29602,326,4164,411
s20268,327,9615,181
s11879,328,754,268
s22990,329,3246,155
s27551,330,6294,461
s2382,331,3712,68
s42669,332,8759,289
s38990,333,3999,405
s65702,334,706,262
s12983,335,163,108
s56245,336,5583,425
s49279,337,6182,419
s8036,338,9054,373
s61493,339,5526,419
s15726,340,5413,53
s60362,341,3774,403
s52028,342,8516,63
s66593,343,878,299
s32233,344,792,60
s14117,345,421,100
s65286,346,7958,350
s22730,347,1689,157
s64758,348,1001,319
s23919,349,8178,491
s53682,350,3476,112
s23377,351,9232,147
s20648,352,2648,472
s34738,353,4391,400
s5984,354,1522,462
s3722,355,4880,483
s35501,356,1617,196
s68757,357,3823,69
s1349,358,1375,217
s10592,359,2434,416
s10791,360,5334,451
s28639,361,6934,337
s19424,362,3691,238
s32822,363,5029,481
s32113,364,1270,472
s26619,365,2394,450
s47344,366,2896,435
s4138,367,5600,413
s55484,368,6456,353
s35413,369,1972,297
s48093,370,5079,472
s21782,371,874,453
s67593,372,6067,312
s23598,373,1655,330
s30574,374,3471,233
s48434,375,8801,231
s64676,376,7218,217
s547,377,5095,348
s69309,378,4541,470
s25135,379,2174,342
s24566,380,7752,397
s14375,381,5609,411
s3053,382,7222,485
s43607,383,7564,212
s134,384,555,232
s55123,385,7632,117
s37015,386,4491,163
s669,387,3643,436
s63025,388,5361,462
s66699,389,4728,173
s23889,390,7627,159
s36535,391,2140,420
s26068,392,2145,283
s52943,393,3801,91
s27537,394,5205,485
s22555,395,4506,61
s66805,396,9995,440
s65656,397,5747,149
s39312,398,1406,87
s64234,399,631,343
s53010,400,8722,343
s6209,401,4932,303
s51818,402,8207,401
s64701,403,5245,327
s6380,404,5389,57
s47698,405,6858,463
s68801,406,1648,327
s27811,407,6577,460
s51199,408,7656,213
s23208,409,6608,335
s4972,410,4791,298
s69716,411,648,101
s47120,412,5069,174
s57549,413,2784,134
s16688,414,9308,261
s66488,415,2736,120
s68135,416,7183,227
s7990,417,6507,284
s58304,418,8823,458
s10430,419,3126,462
s40048,420,3897,241
s6021,421,942,238
s18584,422,6300,200
s36134,423,7334,264
s30456,424,8104,94
s69712,425,5395,62
s56297,426,9729,197
s34534,427,428,124
s64511,428,5604,291
s25672,429,1832,176
s43537,430,1979,218
s45394,431,7049,498
s53643,432,2920,422
s42977,433,2041,101
s39863,434,3154,274
s47915,435,7268,154
s6150,436,2145,222
s11573,437,3725,377
s38660,438,9854,486
s4010,439,9693,453
s29181,440,3039,340
s63292,441,377,459
s62807,442,8155,265
s6787,443,1940,394
s26008,444,4939,346
s67905,445,4700,61
s39283,446,5118,164
s15100,447,8059,181
s51072,448,451,388
s28899,449,1885,323
s47363,450,2373,246
s69002,451,8144,120
s57116,452,5077,77
s11025,453,5566,88
s56816,454,7079,436
s45570,455,6860,90
s63342,456,7655,66
s39530,457,3279,216
s40866,458,1875,316
s54735,459,8762,258
s15974,460,3877,106
s43569,461,5291,491
s46063,462,7872,312
s22755,463,5572,423
s55230,464,4174,259
s28398,465,563,137
s58854,466,6105,183
s45907,467,8987,430
s28379,468,5671,476
s64861,469,6039,358
s2295,470,2409,269
s6188,471,7199,408
s13065,472,8534,284
s54875,473,7871,469
s56234,474,9069,500
s56846,475,9334,284
s66267,476,5739,293
s43867,477,879,360
s10572,478,6767,422
s47411,479,3731,345
s53410,480,260,161
s58545,481,1717,410
s14791,482,8792,63
s46772,483,7999,331
s13603,484,9635,55
s5370,485,2707,180
s54568,486,9198,307
s12449,487,3215,316
s15404,488,3257,401
s22960,489,8176,209
s61051,490,2464,72
s8443,491,6243,72
s25074,492,3959,260
s39804,493,5207,429
s68475,494,3035,298
s35296,495,3957,287
s7030,496,2014,238
s27680,497,5075,118
s57096,498,7476,260
s54449,499,4146,426
s19586,500,3919,194
s61894,501,805,224
s8613,502,5259,125
s21412,503,5657,175
s50367,504,5887,180
s5346,505,5915,203
s59888,506,9171,87
s49404,507,6009,338
s35158,508,462,405
s13854,509,3663,468
s40008,510,1424,214
s9989,511,1181,420
s26762,512,9780,473
s23479,513,9486,78
s43071,514,9430,272
s65015,515,9840,448
s28632,516,2049,309
s63969,517,2557,303
s15274,518,6781,453
s50586,519,7677,314
s8295,520,3226,144
s30453,521,7688,265
s5963,522,9830,340
s25886,523,1908,124
s55885,524,4870,453
s60037,525,6211,318
s3204,526,3335,484
s67851,527,2908,331
s34685,528,8397,68
s62258,529,4787,377
s18497,530,8232,79
s7000,531,3872,459
s59607,532,4332,241
s21859,533,3370,479
s11670,534,281,141
s15291,535,5381,274
s65690,536,3402,329
s24941,537,7183,86
s62533,538,2785,123
s11370,539,6142,272
s20555,540,4764,496
s28869,541,8426,244
s13177,542,1463,268
s66342,543,598,135
s25512,544,4759,426
s20785,545,6905,167
s9650,546,2694,348
s37599,547,8356,200
s59168,548,7573,71
s27954,549,9802,450
s19772,550,848,101
s20875,551,2605,215
s11626,552,2461,243
s4642,553,4334,175
s34484,554,3534,175
s42184,555,3968,232
s48598,556,2851,495
s20423,557,1957,110
s21698,558,7457,309
s16088,559,9184,275
s3702,560,858,488
s16447,561,6661,96
s41387,562,9981,169
s41212,563,4419,398
s65409,564,4492,133
s61280,565,3487,209
s40140,566,3412,180
s24880,567,7509,113
s1084,568,7301,330
s46444,569,9957,403
s22200,570,8543,164
s42407,571,9701,253
s11418,572,7179,210
s23927,573,2547,80
s30088,574,5523,492
s69936,575,6143,212
s56226,576,4175,169
s64502,577,7105,290
s45325,578,1550,126
s39784,579,3478,410
s53778,580,9198,224
s26518,581,1851,82
s35310,582,6050,94
s42722,583,5815,447
s7035,584,9546,182
s61730,585,1211,358
s11442,586,9618,179
s57975,587,3757,101
s50417,588,3318,96
s62695,589,8549,223
s67582,590,9347,445
s41616,591,374,301
s44426,592,7572,295
s13796,593,3162,386
s13623,594,7345,253
s53967,595,2548,327
s46175,596,7464,421
s10467,597,5263,250
s31007,598,860,316
s50189,599,4306,376
s31236,600,8075,490
s17249,601,4384,216
s54027,602,3139,122
s23102,603,8053,293
s28695,604,4568,301
s23695,605,7494,299
s5623,606,9174,381
s14284,607,4250,271
s50427,608,9236,492
s25895,609,9167,177
s19917,610,7757,418
s4519,611,7532,277
s8197,612,6432,259
s33536,613,2975,353
s66745,614,6618,228
s6250,615,6399,344
s52510,616,2908,110
s66931,617,6976,156
s47787,618,6281,499
s57564,619,6105,84
s31931,620,5463,470
s66542,621,1647,91
s5180,622,3012,332
s34991,623,2573,342
s58699,624,7351,315
s29577,625,1936,396
s40154,626,7269,245
s3499,627,6392,109
s20270,628,328,251
s32713,629,5813,303
s357,630,757,387
s2912,631,9334,383
s63886,632,7661,134
s32248,633,3947,224
s15944,634,9009,282
s12924,635,367,436
s36190,636,8994,192
s39925,637,7252,474
s29591,638,3797,500
s4965,639,4466,494
s49007,640,943,215
s41646,641,4445,413
s3334,642,5841,128
s31998,643,7023,338
s27699,644,7571,183
s15165,645,388,323
s67002,646,1472,271
s25170,647,3500,234
s43747,648,9414,314
s48669,649,647,172
s7204,650,2921,373
s61563,651,8102,74
s64301,652,879,61
s26978,653,2575,292
s43725,654,6572,208
s19006,655,9605,197
s8217,656,3429,418
s7185,657,3514,225
s25826,658,4536,497
s32268,659,3743,326
s14339,660,5678,337
s55291,661,3943,254
s22762,662,8523,426
s8959,663,8321,340
s64062,664,1325,275
s49519,665,9888,459
s62265,666,9476,337
s25433,667,7479,212
s66952,668,6076,347
s38028,669,1607,389
s204,670,5281,54
s17970,671,5966,147
s60393,672,3312,344
s60227,673,7213,390
s25387,674,6328,66
s33222,675,2993,352
s19556,676,7363,275
s29787,677,7336,175
s58253,678,198,81
s2858,679,6224,199
s5659,680,4492,470
s61240,681,2262,123
s53141,682,4412,295
s38229,683,7549,468
s50848,684,2799,275
s7853,685,414,81
s41159,686,9454,410
s8379,687,2185,147
s5470,688,7241,175
s45700,689,1332,156
s46239,690,7287,326
s54742,691,1644,437
s67163,692,2709,179
s69836,693,1110,272
s57698,694,4153,434
s57924,695,2110,303
s35109,696,4477,443
s37232,697,9555,110
s65103,698,9338,126
s64053,699,2618,261
s63563,700,1934,215
s5546,701,3925,472
s50013,702,4957,492
s49285,703,5775,401
s57654,704,8476,211
s14140,705,2690,348
s7669,706,9175,484
s20377,707,4629,472
s42169,708,1968,441
s51700,709,6727,166
s35954,710,486,442
s13629,711,1419,191
s8025,712,614,411
s61963,713,3822,366
s42542,714,5748,489
s1719,715,7552,152
s65392,716,512,410
s21280,717,6107,210
s42127,718,1304,86
s3202,719,5187,462
s36424,720,5999,204
s18417,721,8924,188
s34251,722,1486,113
s25242,723,3785,333
s38376,724,7415,242
s23431,725,1145,80
s27350,726,6951,324
s30443,727,7218,451
s52852,728,2523,299
s64147,729,575,176
s1076,730,190,273
s36262,731,7875,475
s46653,732,1180,154
s41786,733,6190,342
s15087,734,1742,317
s13240,735,4832,96
s29924,736,6492,53
s31013,737,2818,170
s38074,738,3904,136
s68266,739,1238,481
s15948,740,6733,426
s61228,741,350,406
s25988,742,5869,80
s23874,743,6874,89
s60033,744,2713,67
s32749,745,6571,348
s54430,746,386,368
s25720,747,2554,452
s20227,748,7090,318
s34666,749,8604,287
s40231,750,4812,247
s55356,751,5576,174
s17663,752,8755,285
s62562,753,7725,75
s31059,754,8146,476
s19989,755,7286,469
s56282,756,5560,475
s46993,757,7816,271
s1569,758,8212,447
s53785,759,1660,414
s66637,760,2453,442
s53619,761,8201,234
s32932,762,3461,165
s28667,763,1894,377
s15321,764,3227,67
s12750,765,7435,475
s67004,766,1059,365
s42491,767,3420,416
s24832,768,4023,243
s8185,769,2961,204
s44480,770,2428,419
s32500,771,3506,338
s3510,772,6166,305
s52735,773,7140,413
s6541,774,268,302
s26264,775,6289,305
s3987,776,6348,353
s62784,777,6200,424
s61298,778,6909,57
s6608,779,1724,341
s33090,780,4001,434
s3423,781,1557,242
s65793,782,2920,439
s55244,783,5735,488
s28313,784,7595,363
s51296,785,9583,474
s27957,786,2285,279
s43667,787,8608,350
s25744,788,8466,189
s26797,789,5528,351
s66071,790,7034,303
s68032,791,6388,190
s13761,792,3471,444
s43554,793,3200,189
s62649,794,9369,197
s69767,795,5098,437
s1037,796,5652,141
s44012,797,6557,98
s12549,798,8068,376
s31686,799,1804,96
s24760,800,9032,474
s13066,801,8306,417
s13140,802,7704,166
s51347,803,7936,108
s41684,804,1026,119
s34619,805,6371,371
s51683,806,3448,61
s30676,807,1267,217
s29490,808,5114,469
s42090,809,7686,230
s65905,810,6082,397
s36977,811,4414,92
s28568,812,6820,486
s26125,813,4227,80
s22468,814,2834,203
s59724,815,5811,246
s1404,816,1341,466
s64248,817,2711,222
s43012,818,3873,398
s29962,819,7911,413
s3107,820,347,296
s2462,821,2278,377
s8588,822,7506,400
s34107,823,9308,221
s56775,824,334,58
s20584,825,6431,360
s14688,826,815,163
s31119,827,9283,298
s13715,828,3224,169
s6372,829,1063,115
s64583,830,8853,155
s29380,831,1987,286
s27101,832,9246,406
s66948,833,4474,281
s57062,834,6528,410
s16290,835,4344,331
s39113,836,5332,364
s40149,837,5284,80
s48636,838,5063,476
s65424,839,6103,372
s6609,840,3392,75
s33795,841,2784,282
s8160,842,683,361
s33303,843,6773,432
s20575,844,6009,459
s41288,845,4332,418
s35444,846,6079,337
s10916,847,348,453
s55254,848,4474,250
s5865,849,3201,500
s39304,850,280,137
s63873,851,2529,433
s3934,852,1572,457
s15237,853,7005,74
s42704,854,1640,193
s50585,855,214,489
s18115,856,2364,161
s18370,857,2712,117
s51959,858,8401,139
s28567,859,1205,118
s10398,860,3738,379
s10344,861,6630,414
s10909,862,1130,190
s50977,863,9547,255
s63338,864,5525,335
s15130,865,342,184
s19281,866,4035,138
s62403,867,6205,89
s29514,868,3981,422
s50269,869,8204,106
s49465,870,8697,187
s16729,871,1806,382
s27599,872,1420,438
s10015,873,5161,277
s7625,874,5070,141
s39965,875,1028,378
s34568,876,9290,223
s9816,877,670,326
s17264,878,7605,213
s69327,879,8333,69
s24915,880,7951,450
s57876,881,918,73
s23295,882,6270,292
s42648,883,9827,232
s46167,884,5757,162
s68708,885,6318,212
s59242,886,1038,140
s23376,887,5931,93
s37180,888,8114,67
s40800,889,1709,496
s6006,890,9261,52
s26841,891,2956,211
s15277,892,5826,113
s28494,893,4786,499
s24615,894,9645,290
s13534,895,644,367
s55856,896,4346,62
s23866,897,292,130
s44049,898,9464,74
s59475,899,5653,313
s19332,900,175,493
s32188,901,5341,392
s49009,902,2181,147
s39172,903,2240,453
s61879,904,9774,121
s55510,905,1066,303
s57929,906,1250,458
s4531,907,6032,311
s16029,908,6073,87
s16740,909,5239,322
s8791,910,9258,378
s47999,911,4060,384
s21576,912,3248,168
s20663,913,3491,217
s7507,914,1708,241
s29989,915,8904,342
s38037,916,9269,442
s45670,917,1466,254
s23537,918,1502,327
s10365,919,1526,344
s68553,920,5635,57
s33056,921,8400,114
s31614,922,2974,362
s65467,923,7653,203
s37153,924,7916,427
s31935,925,2524,364
s39565,926,1730,454
s27871,927,8581,150
s35085,928,1272,218
s50958,929,7016,346
s18505,930,7877,107
s53194,931,8128,51
s12998,932,9330,391
s21215,933,1443,349
s39660,934,543,465
s48632,935,6257,360
s51138,936,5561,302
s47262,937,7904,235
s36169,938,7938,273
s31936,939,4390,355
s16543,940,4061,497
s65732,941,1671,322
s53825,942,3628,500
s2569,943,4591,226
s68167,944,5919,269
s34046,945,5502,83
s67793,946,489,324
s43424,947,859,166
s11444,948,6063,496
s24624,949,9987,136
s43245,950,2283,127
s9314,951,544,280
s28113,952,2385,214
s30782,953,8808,374
s13208,954,8626,57
s34036,955,521,236
s13994,956,9375,277
s63681,957,6708,296
s55977,958,3582,392
s69742,959,7250,383
s8328,960,8571,145
s13974,961,2163,144
s49740,962,7244,499
s16135,963,1786,70
s18234,964,2470,372
s12570,965,195,101
s51477,966,4513,439
s9549,967,761,70
s52936,968,7612,159
s34624,969,9862,69
s477,970,1344,355
s2890,971,4417,407
s32300,972,7061,435
s9174,973,5037,70
s45556,974,2168,142
s42574,975,5350,253
s13440,976,6401,329
s37847,977,7311,212
s7398,978,1427,231
s19017,979,6388,74
s52324,980,9537,104
s30218,981,285,237
s7571,982,9209,303
s35412,983,2731,285
s23484,984,520,160
s14403,985,1662,128
s64534,986,7882,457
s36792,987,1330,359
s34154,988,5180,414
s13275,989,6128,210
s43199,990,5850,216
s43470,991,4436,172
s2189,992,2119,98
s12491,993,5514,243
s42481,994,6083,162
s54699,995,1124,55
s34602,996,8939,204
s55686,997,1896,61
s13783,998,7722,265
s3276,999,417,379
s17679,1000,2615,150
s37981,1001,6048,462
s36193,1002,8451,475
s19392,1003,5038,492
s12392,1004,6297,70
s47741,1005,6212,130
s60722,1006,1981,256
s14598,1007,5146,72
s41177,1008,9106,430
s61986,1009,4457,254
s35579,1010,7952,212
s63668,1011,9892,178
s66989,1012,4941,500
s66325,1013,7116,77
s6810,1014,2160,154
s19368,1015,2517,263
s8589,1016,730,218
s69611,1017,3557,447
s41136,1018,6369,472
s45245,1019,8949,148
s17436,1020,1710,265
s16214,1021,8002,476
s31961,1022,2168,402
s14072,1023,7910,258
s67884,1024,2190,285
s55459,1025,1176,206
s42998,1026,5405,210
s15000,1027,6575,267
s35750,1028,4551,300
s52111,1029,325,486
s58969,1030,1596,272
s2540,1031,6817,397
s63949,1032,5871,131
s8941,1033,723,397
s58490,1034,1790,472
s26044,1035,5342,337
s47993,1036,9885,191
s34608,1037,5238,120
s61911,1038,6028,245
s52149,1039,694,301
s49357,1040,3781,494
s25251,1041,279,367
s38702,1042,6954,112
s51962,1043,8931,451
s67371,1044,5047,204
s20818,1045,9307,396
s66072,1046,4846,107
s55479,1047,4444,260
s310,1048,2963,135
s26598,1049,4215,463
s41778,1050,2730,197
s45862,1051,8753,447
s28919,1052,4576,317
s61592,1053,9585,209
s33865,1054,8122,222
s22284,1055,8235,389
s61297,1056,6109,375
s47474,1057,5411,405
s2453,1058,844,337
s68996,1059,862,202
s41057,1060,857,52
s13258,1061,439,86
s25776,1062,2675,285
s20464,1063,7343,351
s39765,1064,1508,150
s53611,1065,4218,428
s36342,1066,9352,431
s1527,1067,8274,128
s44406,1068,4593,276
s15813,1069,7168,94
s39376,1070,5705,203
s66009,1071,7061,248
s18824,1072,8531,222
s54532,1073,8705,339
s17719,1074,343,310
s68813,1075,7623,116
s48976,1076,7420,175
s66327,1077,2952,330
s45668,1078,2978,110
s61821,1079,8714,152
s28940,1080,4615,421
s61830,1081,8570,229
s677,1082,9165,372
s11009,1083,7457,321
s66776,1084,3144,424
s36687,1085,6940,312
s33644,1086,5288,260
s69227,1087,149,399
s5164,1088,4497,284
s28766,1089,8388,51
s43008,1090,5000,395
s60665,1091,2639,478
s52915,1092,5458,273
s66580,1093,8198,462
s42878,1094,2786,379
s9165,1095,8364,110
s55626,1096,766,323
s65530,1097,6241,304
s67452,1098,2806,236
s41887,1099,8501,177
s31067,1100,6119,201
s37230,1101,8500,56
s63697,1102,2917,195
s60040,1103,8292,419
s10244,1104,2560,101
s21659,1105,3895,453
s59715,1106,2448,381
s18382,1107,317,180
s7025,1108,7588,465
s28784,1109,2642,98
s29808,1110,2208,276
s54602,1111,1038,198
s63790,1112,4307,124
s7151,1113,859,153
s50221,1114,6402,298
s30014,1115,7015,488
s59746,1116,1202,448
s66491,1117,829,95
s21802,1118,8705,413
s26520,1119,2506,209
s39605,1120,1444,129
s56258,1121,9621,434
s13248,1122,8138,88
s66993,1123,547,415
s64280,1124,1157,325
s34311,1125,9246,319
s36339,1126,4799,143
s50470,1127,711,497
s44341,1128,8889,66
s5560,1129,9486,70
s39222,1130,9218,207
s61111,1131,9665,325
s56218,1132,6220,346
s11805,1133,1759,169
s57545,1134,1551,419
s23912,1135,590,298
s50590,1136,4815,195
s52428,1137,4716,58
s42464,1138,9539,103
s29505,1139,567,107
s7003,1140,453,99
s25061,1141,6119,169
s3856,1142,4867,238
s22710,1143,7252,328
s12867,1144,549,299
s32917,1145,2418,148
s21324,1146,2134,228
s39852,1147,7363,219
s62034,1148,5294,419
s15580,1149,1178,390
s23453,1150,9930,393
s3302,1151,4074,405
s67298,1152,328,425
s65676,1153,5819,480
s12800,1154,6265,79
s61173,1155,7360,426
s55498,1156,6030,240
s28299,1157,6439,69
s31966,1158,660,75
s46354,1159,7942,388
s16975,1160,2673,397
s12897,1161,1513,221
s14028,1162,2067,221
s3379,1163,3253,362
s37504,1164,7683,126
s4099,1165,1758,236
s1928,1166,5549,176
s9590,1167,1931,382
s9355,1168,7035,138
s34698,1169,1120,227
s4050,1170,7992,73
s10391,1171,7137,414
s44920,1172,547,215
s2312,1173,1809,255
s4163,1174,1842,233
s9151,1175,5864,470
s4637,1176,8005,498
s9347,1177,8585,282
s64713,1178,1780,473
s52266,1179,3243,127
s29882,1180,606,428
s2879,1181,2265,254
s11385,1182,3502,270
s28737,1183,8993,416
s28271,1184,4909,482
s19726,1185,691,131
s27714,1186,797,237
s20470,1187,5805,249
s9702,1188,7719,333
s9611,1189,3510,451
s44513,1190,565,285
s61749,1191,7950,67
s52399,1192,8125,420
s39163,1193,2278,440
s27106,1194,8013,398
s15387,1195,8288,256
s6073,1196,8036,402
s41354,1197,2266,237
s59893,1198,3853,94
s12704,1199,9884,329
s32935,1200,7909,500
s49171,1201,4971,453
s46012,1202,416,145
s39490,1203,8579,316
s23123,1204,9334,220
s29816,1205,2212,377
s716,1206,1601,55
s24103,1207,3055,405
s55268,1208,289,233
s29918,1209,8548,161
s9098,1210,1789,67
s2934,1211,3720,236
s5380,1212,2995,61
s49360,1213,8411,373
s64770,1214,6095,206
s28287,1215,7250,171
s924,1216,4886,480
s44976,1217,2758,79
s55504,1218,681,421
s69668,1219,8408,365
s7692,1220,2012,365
s64642,1221,726,208
s51024,1222,7465,252
s66469,1223,791,380
s62834,1224,6157,407
s53278,1225,2915,204
s24934,1226,894,280
s41897,1227,6596,308
s34651,1228,488,436
s41813,1229,5136,163
s36540,1230,4694,144
s12770,1231,3449,55
s67001,1232,5608,285
s314,1233,2910,160
s35903,1234,113,437
s29191,1235,5476,404
s28774,1236,3678,161
s35481,1237,2839,315
s13754,1238,9005,296
s49159,1239,5757,142
s27821,1240,9746,483
s17953,1241,1028,392
s30032,1242,313,439
s66423,1243,696,199
s14444,1244,3646,368
s57788,1245,504,140
s14744,1246,9672,79
s8741,1247,2168,471
s7007,1248,1916,344
s44776,1249,3383,389
s58429,1250,4338,233
s67417,1251,8813,154
s30969,1252,6900,265
s28684,1253,299,393
s12523,1254,3034,365
s7352,1255,2615,378
s26369,1256,4274,409
s39414,1257,5671,88
s34461,1258,7799,440
s39410,1259,8749,449
s5168,1260,2565,365
